PEOE_VSA8,Atom_LogP_Delta,Iaverage / mA cm-2,Alkylthiol,HOMO-LUMO Gap,VSA_EState10,SMR_VSA4
4.776498962,1.168,142.3333333,0,0.174695,1.099537037,0.0
0.0,0.7226,133.0,0,0.20826,4.994212963,0.0
0.0,0.9375,134.6666667,1,0.250731,3.415895062,0.0
11.50570721,0.9375,107.3333333,0,0.205044,0.0,0.0
11.50570721,0.8517,88.0,0,0.21088,1.81712963,0.0
5.38006277,0.9476,147.3333333,0,0.211919,1.275972222,0.0
9.790966951,0.9375,102.3333333,0,0.155697,8.28404055,0.0
15.60550306,1.7165,117.0,0,0.189592,9.664444444,0.0
4.895483476,0.9375,80.33333333,0,0.17722,4.007139078,0.0
11.37477255,1.4889,97.0,0,0.171432,0.0,0.0
18.14654075,0.9721,118.6666667,1,0.20708,4.070123457,0.0
12.39368714,0.9721,95.0,0,0.177058,0.0,0.0
12.13273414,0.9878,94.66666667,0,0.137686,0.0,0.0
10.77548692,0.9572,84.0,1,0.212903,9.87087963,0.0
21.1657395,1.6752,85.66666667,0,0.135477,0.0,0.0
5.752853607,0.9159,97.0,1,0.216317,4.110123457,0.0
0.0,0.5232,83.33333333,0,0.207497,0.0,0.0
9.790966951,0.5252,96.0,0,0.16516,0.0,0.0
6.066367068,3.6197,131.6666667,0,0.128838,1.555555556,0.0
34.57834124,0.9721,111.3333333,0,0.195128,0.0,0.0
4.877147194,0.913,150.3333333,0,0.214845,1.470416667,0.0
5.24993803,0.9159,88.66666667,1,0.259607,4.36132716,0.0
0.0,0.4569,94.66666667,0,0.267324,-1.422839506,0.0
0.0,0.8517,79.33333333,0,0.198758,4.158518519,0.0
9.494044906,0.8533,80.0,0,0.202561,0.0,0.0
4.747022453,0.9159,92.66666667,1,0.247611,4.723294753,16.74788698
5.917906046,1.6672,89.66666667,0,0.18412800000000001,4.597222222,11.65157352
0.0,1.6672,130.3333333,0,0.186019,4.314814815,5.733667477
10.49987606,0.9159,96.0,2,0.244101,8.233024691,0.0
9.790966951,0.56368,103.0,0,0.162863,0.0,0.0
0.0,1.2332,102.6666667,0,0.220997,0.0,5.138973738
17.90485078,0.9476,148.0,0,0.210734,1.603009259,0.0
4.877147194,0.76108,127.0,0,0.202057,5.109861111,0.0
0.0,1.6507,92.0,0,0.212061,1.398148148,0.0
0.0,0.9159,92.33333333,1,0.256136,4.243257212,0.0
0.0,0.9159,97.33333333,1,0.25615,4.145649364,0.0
41.17300463,1.4423,143.6666667,0,0.121224,1.423193518,0.0
0.0,0.9159,127.0,1,0.256981,3.788580247,0.0
14.81360026,1.2083,147.0,0,0.166779,7.724542881,0.0
16.83863893,1.094,146.0,0,0.150798,1.844583333,0.0
20.13718479,1.3578,91.0,0,0.211503,4.856481481,0.0
0.0,0.9159,116.6666667,1,0.257057,3.527777778,0.0
4.895483476,0.9375,108.6666667,0,0.166071,1.596283069,0.0
4.895483476,0.9375,90.0,0,0.215256,1.666388889,0.0
6.420821623,0.9159,109.0,1,0.243002,2.943211989,0.0
6.066367068,0.9159,96.0,0,0.21197,3.220679012,0.0
0.0,0.7541,129.6666667,0,0.200509,0.0,0.0
12.17367523,1.6672,129.3333333,1,0.233439,3.873779569,5.733667477
5.752853607,1.6672,136.3333333,1,0.23901,3.64904321,5.733667477
11.50570721,1.6672,113.6666667,0,0.203692,0.0,11.46733495
11.50570721,1.6672,115.6666667,0,0.204295,0.0,11.46733495
11.50570721,1.6672,112.6666667,0,0.204469,0.0,11.46733495
0.0,1.6672,125.6666667,0,0.2216,4.092592593,11.46733495
4.472719516,1.8726,87.0,0,0.190817,4.88268424,0.0
0.0,1.6507,94.66666667,0,0.194841,1.292962963,0.0
12.29761001,1.6672,132.6666667,1,0.258099,3.795524691,5.733667477
24.59522003,1.6672,84.33333333,0,0.200923,0.0,11.46733495
0.0,0.902,94.33333333,0,0.163403,2.972777778,0.0
24.34735046,0.9265,97.66666667,0,0.200618,1.877824074,0.0
12.29761001,1.3578,93.66666667,0,0.252718,1.347222222,0.0
11.50570721,0.9375,94.33333333,2,0.253834,7.529753086,0.0
4.895483476,0.9375,106.6666667,0,0.203537,3.947808642,0.0
12.39368714,0.9721,133.3333333,0,0.197823,0.0,0.0
11.37477255,1.167,95.33333333,0,0.176377,5.195804989,0.0
0.0,0.5007,154.3333333,0,0.224708,1.712962963,0.0
19.50858877,0.5007,125.3333333,0,0.133783,5.470002834,0.0
11.57690634,0.9476,114.6666667,0,0.225111,1.601851852,0.0
0.0,0.9476,149.3333333,0,0.200284,1.676203704,0.0
0.0,0.9159,85.0,1,0.200913,5.087314815,0.0
4.747022453,0.9159,86.66666667,1,0.248993,4.850185185,17.75371814
9.918116789,0.9572,96.33333333,0,0.202625,9.650740741,0.0
9.790966951,0.9159,104.0,0,0.192472,8.195432099,0.0
9.790966951,0.9159,100.6666667,0,0.204211,8.210432099,0.0
9.790966951,0.9159,99.66666667,0,0.203521,8.242839506,0.0
6.196843572,0.9721,138.3333333,0,0.201045,3.973271605,0.0
17.28917062,0.9721,134.0,0,0.210079,4.044382716,0.0
17.64362517,0.9721,129.3333333,1,0.206834,4.047623457,0.0
0.0,0.9159,85.33333333,2,0.256097,8.366555335,0.0
0.0,0.9159,108.3333333,2,0.256083,8.303644407,0.0
0.0,0.9159,83.66666667,2,0.255729,8.137006173,0.0
0.0,0.9159,97.66666667,2,0.255057,8.04132716,0.0
0.0,0.9159,129.6666667,2,0.247211,7.688271605,0.0
